序号,件号,名称,中文材料,英文材料,装配处,页数,图纸,任务分配,发动机类型,,级别,,部件,,零件类型,,,零件图纸号,文件夹名称,页号,版本号,文件名称,产品序号,新编号
72,44.041,后封严环,,,,1,A0,曾武,,,,,,,,,,,,,,,,
73,44.051,轴承座,,,,1,A1,曾武,,,,,,,,,,,,,,,,
74,44.061,消泡器网,,,,1,A3,曾武,,,,,,,,,,,,,,,,
75,44.062,消泡器支座,,,,1,A3,曾武,,,,,,,,,,,,,,,,
76,44.101,内弯管环盖,,,,1,A3,曾武,,,,,,,,,,,,,,,,
77,44.111,燃气涡轮导向器,,,,2,A0,曾武,,,,,,,,,,,,,,,,
78,44.201,整体扇形块,,,,1,A0,曾武,,,,,,,,,,,,,,,,
79,44.202,密封压装环,,,,1,A2,曾武,,,,,,,,,,,,,,,,
80,44.203,片销（舌片）,,,,1,A4,曾武,,,,,,,,,,,,,,,,
81,44.204,开口挡圈,,,,1,A3,曾武,,,,,,,,,,,,,,,,
82,44.205,调整大垫片,,,,1,A4,曾武,,,,,,,,,,,,,,,,
83,44.211,燃气涡轮机匣,,,,1,A0,曾武,,,,,,,,,,,,,,,,
84,44.212,定位销,,,,1,A4,曾武,,,,,,,,,,,,,,,,
85,44.213,定位销,,,,1,A4,曾武,,,,,,,,,,,,,,,,
86,44.301,双联篦齿,,,,1,A2,曾武,,,,,,,,,,,,,,,,
87,44.302,压气机后螺母,,,,1,A3,曾武,,,,,,,,,,,,,,,,
88,44.304,调整垫2,,,,1,A4,曾武,,,,,,,,,,,,,,,,
89,44.305,压板,,,,1,A2,曾武,,,,,,,,,,,,,,,,
90,44.306,隔热板,,,,1,A3,曾武,,,,,,,,,,,,,,,,
91,44.307 .45.301,轴用涨圈,,,,1,A2,曾武,,,,,,,,,,,,,,,,
92,44.308,孔用涨圈,,,,1,A3,曾武,,,,,,,,,,,,,,,,
93,44.310,中间扩散机匣,,,,2,A0,曾武,,,,,,,,,,,,,,,,
94,44.311,调整垫3,,,,1,A3,曾武,,,,,,,,,,,,,,,,
95,44.800,燃气涡轮转子组件,,,,1,A1,曾武,,,,,,,,,,,,,,,,
96,44.801,压环组件,,,,1,A1,曾武,,,,,,,,,,,,,,,,
97,44.802,连接板组件,,,,1,A3,曾武,,,,,,,,,,,,,,,,
98,44.803,篦齿封严环组件,,,,1,A3,曾武,,,,,,,,,,,,,,,,
99,44.804,后封严环组件,,,,1,A3,曾武,,,,,,,,,,,,,,,,
100,44.805,滚棒轴承座,,,,1,A3,曾武,,,,,,,,,,,,,,,,
101,44.806,消泡器,,,,1,A3,曾武,,,,,,,,,,,,,,,,
102,44.810,带内弯管的燃气涡轮导向器,,,,1,A2,曾武,,,,,,,,,,,,,,,,
103,44.811,燃气涡轮导向器组件,,,,1,A1,曾武,,,,,,,,,,,,,,,,
104,44.812,内弯管焊接组件,,,,1,A0,曾武,,,,,,,,,,,,,,,,
105,44.820,带扇形块的燃气涡轮机匣组件,,,,1,A0,曾武,,,,,,,,,,,,,,,,
106,44.821,燃气涡轮机匣组件,,,,1,A1,曾武,,,,,,,,,,,,,,,,
107,45.001,自由涡轮盘,,,,2,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,盘,004,20106004,001,20106004001,01,01,201060040010101,00001,20106004001010100001
,-,,,,,,,,,,,,,,,,,,,02,01,201060040010201,00001,20106004001020100001
108,45.002,自由涡轮叶片,K465,,,3,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,动叶,002,20106002,001,20106002001,01,01,201060020010101,00001,20106002001010100001
,-,,,,,,,,,,,,,,,,,,,02,01,201060020010201,00001,20106002001020100001
,-,,,,,,,,,,,,,,,,,,,03,01,201060020010301,00001,20106002001030100001
109,45.003,锁片,板GH4093(GH93),C3S 164-1985,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,垫片,013,20106013,001,20106013001,01,01,201060130010101,00001,20106013001010100001
110,45.004,减震片,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,垫片,013,20106013,002,20106013002,01,01,201060130020101,00001,20106013002010100001
111,45.011,自由涡轮轴,棒1Cr12Ni3Mo2VE,,45.801,1,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,轴,005,20106005,001,20106005001,01,01,201060050010101,00001,20106005001010100001
112,45.012,衬套,棒1Cr18Ni9Ti,GJB 2294-1995,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,001,20106018001,01,01,201060180010101,00001,20106018001010100001
113,45.100,自由涡轮导向器,K465,,,1,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,机匣,006,20106006,001,20106006001,01,01,201060060010101,00001,20106006001010100001
114,45.111,后轴承座（鼠笼）,,,,1,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,机匣,006,20106006,002,20106006002,01,01,201060060020101,00001,20106006002010100001
,-,,,,,,,,,,,,,,,,,,,02,01,201060060020201,00001,20106006002020100001
115,45.121,鼠笼轴承座安装座,,,,2,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,机匣,006,20106006,003,20106006003,01,01,201060060030101,00001,20106006003010100001
116,45.122,定位管销（前端）,管GH3030,GJB 2297A-2008,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,销钉,015,20106015,001,20106015001,01,01,201060150010101,00001,20106015001010100001
117,45.123,有肩定位销,棒GH4169,Q/6S 1034-1992,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,销钉,015,20106015,002,20106015002,01,01,201060150020101,00001,20106015002010100001
118,45.124,销子,棒1Cr17Ni3,Z9-0109-1992,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,销钉,015,20106015,003,20106015003,01,01,201060150030101,00001,20106015003010100001
119,45.131,封严环,,,,1,A1,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,001,20106017001,01,01,201060170010101,00001,20106017001010100001
120,45.132,定位块,GH4169,HB 6702-1993,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,销钉,015,20106015,004,20106015004,01,01,201060150040101,00001,20106015004010100001
121,45.133,定位销,棒GH4169,Q/6S1034-1992,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,销钉,015,20106015,005,20106015005,01,01,201060150050101,00001,20106015005010100001
122,45.141,滑油喷嘴安装座,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,002,20106018002,01,01,201060180020101,00001,20106018002010100001
123,45.142,喷咀,1Cr17Ni3,Z9-0109-1992,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,喷管,010,20106010,001,20106010001,01,01,201060100010101,00001,20106010001010100001
124,45.151,法兰座,,,,1,A1,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,003,20106018003,01,01,201060180030101,00001,20106018003010100001
125,45.152,滑油管,管1Cr18Ni9Ti-6×0.8,GJB2296A-2005,45.815,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,管路,014,20106014,001,20106014001,01,01,201060140010101,00001,20106014001010100001
126,45.153,接头,棒1Cr12Ni3Mo2VE,Z9-0112-92,45.815,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,004,20106018004,01,01,201060180040101,00001,20106018004010100001
127,45.302,涡轮环,锻件GH3625,Z9 0105 1990,,1,A1,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,002,20106017002,01,01,201060170020101,00001,20106017002010100001
128,45.303,冷却环,GH3625,,,1,2A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,003,20106017003,01,01,201060170030101,00001,20106017003010100001
129,45.304,W形密封环,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,004,20106017004,01,01,201060170040101,00001,20106017004010100001
130,45.305,涨圈,HT250,GB/T 9439-2010,,1,A2,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,005,20106017005,01,01,201060170050101,00001,20106017005010100001
131,45.306,O型环间隔垫,1Cr12Ni3MoVA,Z9-0108-1992,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,005,20106018005,01,01,201060180050101,00001,20106018005010100001
